VBP_01	ENSG00000167074	to_protein
HOXD12FIGLA_01	ENSG00000183733	to_protein
NR2E1_02	ENSG00000112333	to_protein
MEIS1ELF1_01	ENSG00000143995	to_protein
ZNF460_01	ENSG00000197714	to_protein
AP4_Q6	ENSG00000090447	to_protein
E2F1_09	ENSG00000101412	to_protein
HKR1_02	ENSG00000181666	to_protein
CDX1_01	ENSG00000113722	to_protein
MEIS1BHOXA9_02	ENSG00000078399	to_protein
STAF_04	ENSG00000166478	to_protein
ARNTLBHLHA15_01	ENSG00000180535	to_protein
NFATC2_01	ENSG00000101096	to_protein
ZNF729_08	ENSG00000196350	to_protein
GFI1B_01	ENSG00000165702	to_protein
SP5_01	ENSG00000204335	to_protein
EBOX_Q6_01	ENSG00000171786	to_protein
ZNF670_01	ENSG00000277462	to_protein
HIC2_01	ENSG00000169635	to_protein
DLX2_03	ENSG00000115844	to_protein
ZNF813_01	ENSG00000198346	to_protein
PPARGRXRA_02	ENSG00000132170	to_protein
T3R_Q6	ENSG00000172819	to_protein
AML1_Q4_02	ENSG00000159216	to_protein
STAT_Q6	ENSG00000138378	to_protein
BACH1_01	ENSG00000156273	to_protein
CHD2_01	ENSG00000173575	to_protein
ZNF781_01	ENSG00000196381	to_protein
GLI_Q3	ENSG00000107249	to_protein
TBX2_03	ENSG00000121068	to_protein
SOX15_01	ENSG00000129194	to_protein
FOXJ3_08	ENSG00000198815	to_protein
TEAD4PITX1_01	ENSG00000197905	to_protein
GCM2E2F8_01	ENSG00000129173	to_protein
TBP_08	ENSG00000112592	to_protein
NF1_Q6_02	ENSG00000008441	to_protein
NRF1_02	ENSG00000106459	to_protein
ZNF2_02	ENSG00000275111	to_protein
HNF3G_Q4	ENSG00000170608	to_protein
ZNF534_03	ENSG00000198633	to_protein
FOXR1_02	ENSG00000176302	to_protein
CCNT2_01	ENSG00000082258	to_protein
CRX_Q6	ENSG00000165588	to_protein
ZNF17_04	ENSG00000186272	to_protein
PITX1HOXA3_01	ENSG00000069011	to_protein
BARX1_01	ENSG00000131668	to_protein
BCL6B_05	ENSG00000161940	to_protein
CLOCKEVX1_01	ENSG00000134852	to_protein
CHX10_01	ENSG00000119614	to_protein
E2F1_07	ENSG00000101412	to_protein
TBP_Q6	ENSG00000166337	to_protein
E2A_Q6	ENSG00000111046	to_protein
POU6F1_03	ENSG00000184271	to_protein
AP2_Q4	ENSG00000087510	to_protein
TBX2RELATED_Q6	ENSG00000089225	to_protein
NFAT_Q6	ENSG00000131196	to_protein
TEF_08	ENSG00000187079	to_protein
ZNF729_03	ENSG00000196350	to_protein
CREBP1_Q2	ENSG00000115966	to_protein
SIX5_04	ENSG00000177045	to_protein
NFY_01	ENSG00000120837	to_protein
NFAT5_Q5_02	ENSG00000102908	to_protein
POU2F1HOXB13_01	ENSG00000143190	to_protein
HOXA6_03	ENSG00000106006	to_protein
CTCF_07	ENSG00000102974	to_protein
NKX28_01	ENSG00000136327	to_protein
ZNF133_02	ENSG00000125846	to_protein
ZNF570_01	ENSG00000171827	to_protein
MITF_Q6	ENSG00000187098	to_protein
IRF4_08	ENSG00000137265	to_protein
ZNF484_03	ENSG00000127081	to_protein
ETV5CLOCK_01	ENSG00000244405	to_protein
E2F_Q4_03	ENSG00000007968	to_protein
ZNF280B_01	ENSG00000275004	to_protein
GLI2_01	ENSG00000074047	to_protein
MYOD_Q6_01	ENSG00000122180	to_protein
CRX_Q4	ENSG00000105392	to_protein
CEBPB_06	ENSG00000172216	to_protein
HNF3B_01	ENSG00000125798	to_protein
ING4_01	ENSG00000111653	to_protein
SIX3_01	ENSG00000138083	to_protein
NF1_Q6_02	ENSG00000162599	to_protein
RARB_02	ENSG00000077092	to_protein
ZNF134_01	ENSG00000213762	to_protein
XBP1_05	ENSG00000100219	to_protein
SMAD_Q6_01	ENSG00000101665	to_protein
ELK1ONECUT2_01	ENSG00000119547	to_protein
ZNF675_03	ENSG00000197372	to_protein
ZNF581_02	ENSG00000171425	to_protein
BCLAF1_01	ENSG00000029363	to_protein
PBX4HOXA1_01	ENSG00000105991	to_protein
TEAD4HOXB13_01	ENSG00000197905	to_protein
ELK1TEF_01	ENSG00000167074	to_protein
NFY_01	ENSG00000066136	to_protein
SP1_Q6	ENSG00000185591	to_protein
ATF6_01	ENSG00000118217	to_protein
ZNF43_05	ENSG00000198521	to_protein
BRF1_01	ENSG00000185024	to_protein
ZFP90_03	ENSG00000184939	to_protein
ZFP90_02	ENSG00000184939	to_protein
ETS2_Q4	ENSG00000157557	to_protein
