Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000106546	6547.36512853497	0.78246446924789	0.211211865526037	3.70464257440799	0.000211689015132133	0.00138225128407154
ENSG00000100823	2659.14280844731	0.813390991762477	0.218076157458777	3.72984833023864	0.000191595066491716	0.00127140947541708
ENSG00000169083	226.856399795186	-1.20927258389417	0.353136830065937	-3.42437401295238	0.000616217492260851	0.00332216880332828
ENSG00000116017	390.660643470564	1.26987313948075	0.189441010335152	6.70326418357956	2.03814494930531e-11	1.70146844573406e-09
ENSG00000133794	424.740421353188	-0.547728133767389	0.203764632840625	-2.6880431904775	0.00718720997312879	0.0242682435039661
ENSG00000029153	952.900505374963	1.94224731873903	0.256835927846001	7.56221037698276	3.96276762196811e-14	6.89066409552274e-12
ENSG00000169136	507.552056625352	0.712751221219087	0.263034350271585	2.70972677326427	0.00673386544873036	0.0230010262359928
ENSG00000172238	696.380020228964	-0.800370788582235	0.320470850052879	-2.49748390048633	0.0125078144558487	0.0377565274083744
ENSG00000156127	183.729893414858	1.12083014447947	0.402770306623226	2.78280232193968	0.00538916302749766	0.0193084704339524
ENSG00000123685	55.2936184758991	0.890180207599987	0.257143435912999	3.46180412670991	0.000536567507261868	0.00298011835323009
ENSG00000069399	543.812882943022	0.680295956710962	0.258892571851661	2.62771524051588	0.00859604404940142	0.027981347458285
ENSG00000161940	286.65178575625	0.980008081376396	0.310577508062362	3.15543803377937	0.00160257304238817	0.00722294759845489
ENSG00000134107	3598.20890156561	1.24243782372125	0.255768100225603	4.85767311336067	1.18773281297976e-06	1.929079987084e-05
ENSG00000123095	708.133672093316	-0.783433748208482	0.265269810039121	-2.95334681354408	0.00314348581052988	0.0125223790718767
ENSG00000012048	1189.47526654651	0.866078025077498	0.264950773187235	3.26882618480023	0.00107994620448015	0.00525367624534299
ENSG00000067955	1706.73058651359	1.02543977328118	0.203473869533547	5.03966320408587	4.66351797589708e-07	8.82209201008837e-06
ENSG00000096401	2182.06675983887	0.465873099460467	0.1843560367154	2.52702926229456	0.0115031917805383	0.0353078266974486
ENSG00000172216	2889.56434406154	1.55635543723869	0.236186226795187	6.58952665596503	4.41231013507135e-11	3.32077248934908e-09
ENSG00000125817	4028.94488382621	0.564982828723062	0.203271004366342	2.77945607876681	0.00544500163548373	0.019449578052369
ENSG00000214575	65.4218449600185	-1.680824142526	0.437702608542675	-3.84010538141932	0.00012298150842652	0.00088578554066922
ENSG00000095794	622.504998038255	0.672501437209509	0.272508032489663	2.46782243835333	0.0135937731342693	0.0402400690867999
ENSG00000160741	421.093963500656	0.421622795160393	0.168687457829342	2.49943179288966	0.0124392642150639	0.0375867081779447
